    phi1      Phi     phi2
 165.126 0.482784  66.3427
 81.2752  88.3992  280.137
 144.436  88.5824  102.138
 205.311  165.241  7.14264
 186.267  94.8047  78.3323
 155.413  167.965  244.169
 79.4554  92.6628  2.25235
 234.611  10.5318  324.554
 194.825  82.9781  185.409
 226.667  116.522  259.186
 119.034  87.4237  81.1977
 38.4916  95.8294  92.4389
 331.602  95.8489  185.689
 355.036  10.0416  157.687
 157.228  5.51057  196.843
  59.851  91.0724  267.777
   42.01  102.335   95.545
 192.386  87.8134  5.58545
 251.609   100.46  9.42681
 16.2382  65.9762  98.5447
 47.3075  104.146  346.899
 313.139  92.8964  192.919
 21.6344  13.6575  72.2868
 281.345   104.07  249.305
 213.311  163.127  329.867
 225.926  86.9007  280.892
  178.82  93.6804  354.653
   16.19  82.4587  268.017
 219.899  96.4047  3.50438
 316.485  168.925  104.634
 46.4612  87.6648  272.814
 12.0275  90.0075  268.667
 51.8484  86.6718  0.10975
 216.713  85.2349  170.021
 119.042  3.98317  96.2443
 292.838  12.2418  260.263
 251.137  97.5696  175.219
 11.5927  98.0334  174.782
  236.66  174.846  263.397
 152.042  104.038 0.641351
 287.022    96.23  185.127
  135.01  88.1597   81.233
 163.104  91.1879  351.923
  210.26  77.8446  173.908
 46.2994  13.1818   252.08
 17.8364  86.3139  15.7639
  123.09   161.08  179.141
 303.678   101.59  7.94177
 107.774  82.0977   280.07
 151.097  170.068  275.438
 260.307  178.786  142.347
 300.494  78.8577   20.788
 301.312  97.0267  182.239
 265.038  90.8993  273.875
 351.938  86.9429  273.679
 280.168    93.53   197.89
 83.1571  177.303  271.683
 142.466  84.3216   99.864
 357.403  175.411  191.446
 206.449  87.3347  93.9921
 112.299  102.612  87.9832
 18.5897  171.465  31.6636
 298.925  94.1139  92.4876
 244.977  87.0407  114.219
 182.743  19.9812  198.947
 202.587  78.6258  94.9812
 276.001  73.6065  84.5553
 324.362   71.853  255.872
 161.988  6.23991  341.461
 232.217  78.9815  277.424
 166.268  91.7999  5.36043
 37.0327  94.0962  196.058
 177.518  96.5782  265.665
 129.689   85.952  92.1707
 166.908   93.763  264.525
 117.111  103.623    186.8
 155.377  83.8673  11.1479
 196.691  12.6326  44.1666
 249.764  89.8943  284.396
 248.942  13.0811  67.5387
 273.398  19.5024  235.875
 323.792  168.798  178.952
 135.802  94.1392  79.6337
  254.01  156.627  342.566
  339.67  8.44726  239.295
  184.61  20.9332  171.176
 58.2882  102.711  79.1114
 310.472   84.798  174.253
 71.9304  90.1912  9.65244
 283.864  113.279  15.8387
 15.2767  82.8058  12.0293
 309.971  93.5793  281.886
 333.824  100.541  13.8364
 194.285   109.49  265.003
 181.163  11.0601  182.944
 136.343   167.49  216.562
 317.039  84.4844  90.4259
 267.349  170.095  137.471
 101.386  5.65312  25.2036
 145.718  168.935  38.6323
  131.19  75.8491   158.46
   127.1  151.597  101.405
 316.326  163.239  137.113
 63.7804  77.8812  266.579
 11.3605  7.24157  59.6009
 151.212  163.048  356.002
 212.208  100.446  9.62929
  13.081  81.7116  269.144
 275.872  14.0062  228.582
 233.843  84.7422  12.2952
 45.3546  162.933   297.92
 201.423  91.3533  192.148
 291.998  175.819  91.6496
 345.383  88.3128  4.00746
 3.10838  79.1624  354.532
 4.06777  96.6253  85.7197
  246.57  76.0154  184.608
 79.3513  90.0245  272.855
 71.6031  171.371  293.309
 237.402  15.7178  120.572
 192.695  94.8729  17.9419
 208.613  81.1592   356.54
 172.774  102.085  262.375
 262.435  82.5808  251.083
 275.307   163.02  345.512
 129.364  100.949  198.717
 341.748  172.198  112.276
 304.095  95.5526  182.869
 348.299  86.8844  184.925
 44.3819  95.2956  256.541
 159.049  92.4637  3.37535
 84.3983  94.9592  187.367
   241.9  154.489  245.936
 170.756  90.2521   167.04
 356.275  98.0953  174.174
 330.412  8.58385  114.155
 70.3099  91.1199  348.778
   208.7  174.237  194.239
 71.6488  77.6622   77.659
 228.095  90.6444  358.092
 327.159  85.0218  177.981
 199.463  92.0058  257.121
 180.503  92.3561  81.5685
 221.291  103.545   92.017
 163.318  107.334  278.853
 321.777  169.858   112.12
 334.191  174.481  232.595
 201.776   94.255  4.96256
 78.8127  2.92353  23.5927
 88.3422  89.8848  166.853
 14.3531  12.1876  237.976
 286.168  92.2132  17.0755
  320.21  97.1556  258.944
 310.727  99.6516  269.447
 309.609  9.71732  54.9251
 289.502   73.442   93.547
 342.891  108.142  87.5704
 343.719  12.0432  327.322
 355.904  5.41245  339.762
 308.754   84.843  74.5584
 1.05061  10.4519   42.408
 211.946  80.0833  15.0705
 274.292  85.8519  272.427
 180.326   89.282  96.4509
 92.1208  170.489  117.408
 261.334   167.81  342.243
 136.699  99.6572   355.58
  352.53  89.1753  265.714
 124.486  3.98069  290.269
 33.5688  93.8805  189.751
 114.755  86.5088  189.407
 236.625  86.1709  179.392
 139.703   9.3022  139.949
 92.4279  84.5107   3.1861
  74.575  98.0844   269.69
 277.392  95.6286  260.623
 141.946  76.2152  276.976
 135.093  8.95183  233.451
 53.3713  98.5974  103.876
 31.8797  105.611  86.7063
 66.8232   85.677  182.211
  208.57  17.9998   39.067
 256.457   97.007  274.502
 176.366  11.4239  92.9693
 303.902  83.6994  263.836
 231.888  173.053  166.209
 228.663  13.7001  161.023
  232.69   102.72  161.806
 261.251  95.0136   181.84
 47.8043  83.2891  349.396
 160.012  171.909  287.149
 314.913  89.1305  274.091
 91.5279   104.06  182.427
 246.184  0.58711  46.6852
 258.074   85.735  273.249
 158.778  87.8264  264.308
 359.332  8.16083  108.624
  97.104   9.8146  340.766
  34.127  96.4377   280.43
 65.5246  84.4503  90.5018
 222.387  81.0311   268.73
 268.514   173.75  266.879
 130.651  88.7335  270.613
 172.722  6.14215  187.279
 304.747   94.897  358.874
 289.165  100.563  91.5914
 307.752  92.3992  356.041
 216.481  96.4597   168.53
 152.829   88.856  164.284
 213.055  88.2754  259.592
 28.9835   156.86   181.13
 286.694  92.6379  274.804
 236.933    76.14  355.832
  256.93  172.148  171.884
 205.369  84.0869  358.716
 328.142  82.3778    271.6
 117.569  8.24676  156.469
 314.432   77.042  262.325
 60.2339  84.7985  170.516
 138.615  90.9347  183.093
  236.61   87.463  345.267
 158.465  164.333  311.671
 339.177  81.4313  191.486
 65.8334  92.6355  5.77265
 325.082  13.1858  203.106
 65.8415  171.056  126.424
 96.3371  95.7738  15.2538
 340.316  108.556  83.9635
 206.719  89.1507  193.569
 291.319  15.1689  100.271
  327.35  86.3182  91.2504
 211.371  3.21869  178.621
 351.934  156.929  259.386
  195.02   99.062  269.391
 328.958  88.3222  68.0521
 78.0744   81.968  261.576
 313.095  87.7595  170.106
 247.707  90.2441  275.248
 165.696  97.6376  175.984
 166.284  14.6474  44.6326
 120.279  176.012   177.03
 220.988   85.203  175.639
 350.008  9.53538  98.9342
 119.697  86.4462  267.853
 251.985  167.451   239.14
 242.742  81.4517  260.071
 97.1047  97.6202   274.24
 71.2136  75.5435  166.763
 113.401  85.1251  348.558
 131.319  16.1992  331.949
 49.1609  174.228  268.453
 320.866  7.16481  54.8989
 314.627  84.2434  174.589
 328.547  87.3466  87.3068
 203.942  84.7827  182.021
 196.175  99.6899  180.995
 115.476  154.711  251.959
